index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
1,B1,04/08/95,Aalst,Anderlecht,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
2,B1,05/08/95,Cercle Brugge,Antwerp,3.0,2.0,H,0.0,2.0,A,,,,,,,,,,,
3,B1,05/08/95,Charleroi,Mechelen,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,
4,B1,05/08/95,Lierse,Harelbeke,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
5,B1,05/08/95,Molenbeek,Beveren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
6,B1,05/08/95,St Truiden,Seraing,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
7,B1,05/08/95,Standard,Lommel,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
8,B1,05/08/95,Waregem,Gent,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
9,B1,06/08/95,Germinal,Club Brugge,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
10,B1,11/08/95,Club Brugge,St Truiden,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
11,B1,12/08/95,Anderlecht,Charleroi,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
12,B1,12/08/95,Antwerp,Lierse,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
13,B1,12/08/95,Beveren,Aalst,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
14,B1,12/08/95,Gent,Standard,2.0,4.0,A,0.0,0.0,D,,,,,,,,,,,
15,B1,12/08/95,Lommel,Cercle Brugge,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
16,B1,12/08/95,Mechelen,Germinal,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
17,B1,12/08/95,Seraing,Waregem,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
18,B1,13/08/95,Harelbeke,Molenbeek,4.0,2.0,H,2.0,0.0,H,,,,,,,,,,,
19,B1,16/08/95,Aalst,Harelbeke,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
20,B1,16/08/95,Cercle Brugge,Gent,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
21,B1,16/08/95,Charleroi,Beveren,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
22,B1,16/08/95,Lierse,Lommel,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
23,B1,16/08/95,Molenbeek,Antwerp,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
24,B1,16/08/95,Seraing,Club Brugge,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
25,B1,16/08/95,St Truiden,Mechelen,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
26,B1,16/08/95,Waregem,Standard,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
27,B1,20/08/95,Anderlecht,St Truiden,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
28,B1,20/08/95,Antwerp,Aalst,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
29,B1,20/08/95,Beveren,Germinal,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,
30,B1,20/08/95,Gent,Lierse,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
31,B1,20/08/95,Lommel,Molenbeek,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
32,B1,20/08/95,Mechelen,Seraing,1.0,4.0,A,1.0,1.0,D,,,,,,,,,,,
33,B1,20/08/95,Standard,Cercle Brugge,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
34,B1,21/08/95,Club Brugge,Waregem,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
35,B1,21/08/95,Harelbeke,Charleroi,4.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
36,B1,27/08/95,Aalst,Lommel,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
37,B1,27/08/95,Charleroi,Antwerp,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
38,B1,27/08/95,Club Brugge,Mechelen,6.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
39,B1,27/08/95,Germinal,Harelbeke,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
40,B1,27/08/95,Lierse,Standard,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
41,B1,27/08/95,Molenbeek,Gent,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
42,B1,27/08/95,Seraing,Anderlecht,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
43,B1,27/08/95,St Truiden,Beveren,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
44,B1,27/08/95,Waregem,Cercle Brugge,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
45,B1,29/08/95,Anderlecht,Club Brugge,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
46,B1,29/08/95,Beveren,Seraing,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
47,B1,29/08/95,Cercle Brugge,Lierse,2.0,3.0,A,1.0,1.0,D,,,,,,,,,,,
48,B1,29/08/95,Gent,Aalst,3.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
49,B1,29/08/95,Harelbeke,St Truiden,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
50,B1,29/08/95,Lommel,Charleroi,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
51,B1,29/08/95,Mechelen,Waregem,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
52,B1,29/08/95,Standard,Molenbeek,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
53,B1,10/09/95,Aalst,Standard,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
54,B1,10/09/95,Charleroi,Gent,3.0,3.0,D,2.0,2.0,D,,,,,,,,,,,
55,B1,10/09/95,Club Brugge,Beveren,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,
56,B1,10/09/95,Germinal,Lommel,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
57,B1,10/09/95,Mechelen,Anderlecht,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
58,B1,10/09/95,Molenbeek,Cercle Brugge,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
59,B1,10/09/95,Seraing,Harelbeke,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
60,B1,10/09/95,St Truiden,Antwerp,2.0,3.0,A,2.0,1.0,H,,,,,,,,,,,
61,B1,10/09/95,Waregem,Lierse,1.0,3.0,A,1.0,1.0,D,,,,,,,,,,,
62,B1,17/09/95,Anderlecht,Waregem,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
63,B1,17/09/95,Antwerp,Seraing,4.0,2.0,H,1.0,2.0,A,,,,,,,,,,,
64,B1,17/09/95,Beveren,Mechelen,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
65,B1,17/09/95,Cercle Brugge,Aalst,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
66,B1,17/09/95,Gent,Germinal,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
67,B1,17/09/95,Lierse,Molenbeek,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
68,B1,17/09/95,Lommel,St Truiden,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
69,B1,17/09/95,Standard,Charleroi,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
70,B1,18/09/95,Harelbeke,Club Brugge,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
71,B1,20/09/95,Aalst,Lierse,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
72,B1,20/09/95,Anderlecht,Beveren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
73,B1,20/09/95,Charleroi,Cercle Brugge,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
74,B1,20/09/95,Club Brugge,Antwerp,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
75,B1,20/09/95,Germinal,Standard,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
76,B1,20/09/95,Mechelen,Harelbeke,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
77,B1,20/09/95,Seraing,Lommel,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
78,B1,20/09/95,St Truiden,Gent,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
79,B1,20/09/95,Waregem,Molenbeek,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
80,B1,24/09/95,Antwerp,Mechelen,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
81,B1,24/09/95,Beveren,Waregem,5.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
82,B1,24/09/95,Cercle Brugge,Germinal,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
83,B1,24/09/95,Gent,Seraing,4.0,2.0,H,3.0,0.0,H,,,,,,,,,,,
84,B1,24/09/95,Harelbeke,Anderlecht,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,
85,B1,24/09/95,Lierse,Charleroi,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
86,B1,24/09/95,Lommel,Club Brugge,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,
87,B1,24/09/95,Molenbeek,Aalst,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
88,B1,24/09/95,Standard,St Truiden,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
89,B1,30/09/95,Anderlecht,Antwerp,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
90,B1,30/09/95,Beveren,Harelbeke,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
91,B1,30/09/95,Charleroi,Molenbeek,2.0,2.0,D,2.0,0.0,H,,,,,,,,,,,
92,B1,30/09/95,Club Brugge,Gent,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
93,B1,30/09/95,Germinal,Lierse,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
94,B1,30/09/95,Mechelen,Lommel,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
95,B1,30/09/95,Seraing,Standard,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
96,B1,30/09/95,St Truiden,Cercle Brugge,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
97,B1,30/09/95,Waregem,Aalst,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
98,B1,07/10/95,Germinal,Anderlecht,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,
99,B1,15/10/95,Aalst,Charleroi,3.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
100,B1,15/10/95,Cercle Brugge,Seraing,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
101,B1,15/10/95,Gent,Mechelen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
102,B1,15/10/95,Lierse,St Truiden,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
103,B1,15/10/95,Lommel,Anderlecht,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,
104,B1,15/10/95,Molenbeek,Germinal,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
105,B1,15/10/95,Standard,Club Brugge,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
106,B1,16/10/95,Antwerp,Beveren,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
107,B1,16/10/95,Harelbeke,Waregem,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
108,B1,22/10/95,Anderlecht,Gent,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
109,B1,22/10/95,Beveren,Lommel,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
110,B1,22/10/95,Club Brugge,Cercle Brugge,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
111,B1,22/10/95,Germinal,Aalst,5.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
112,B1,22/10/95,Harelbeke,Antwerp,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
113,B1,22/10/95,Mechelen,Standard,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
114,B1,22/10/95,Seraing,Lierse,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
115,B1,22/10/95,St Truiden,Molenbeek,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
